   310	DEAD OR ALIVE 	I'D DO ANYTHING 	79 	60
   311	LEO SAYER 	SEA OF HEARTBREAK 	84 	59
   312	PUBLIC IMAGE LTD 	BAD LIFE 	71 	58
   313	HAZEL O'CONNOR 	DON'T TOUCH ME 	81 	58
   314	ELAINE PAIGE 	SOMETIMES 	72 	58
   315	PARADISE 	WE CAN WORK IT OUT 	81 	57
   316	KID CREOLE AND THE COCONUTS 	MY MALE CURIOSITY 	83 	57
   317	SWANS WAY 	WHEN THE WILD CALLS 	80 	56
   318	ONE BLOOD 	GET IN TOUCH WITH ME 	80 	56
   319	KIKI DEE 	AMOUREUSE {1984} 	77 	56
   320	DANSE SOCIETY 	2,000 LIGHT YEARS FROM HOME 	77 	56
   321	BILLY JOEL 	THIS NIGHT 	78 	55
   322	W.A.S.P. 	ANIMAL (FUCK LIKE A BEAST) 	83 	54
   323	SARAH BRIGHTMAN 	UNEXPECTED SONG 	76 	54
   324	SAXON 	SAILING TO AMERICA 	81 	53
   325	MIQUEL BROWN 	SO MANY MEN, SO LITTLE TIME {1984} 	78 	53
   326	CULT 	RESURRECTION JOE 	74 	53
   327	ELVIS PRESLEY 	GREEN GREEN GRASS OF HOME {1984} 	76 	52
   328	ART GARFUNKEL 	SOMETIMES WHEN I'M DREAMING 	77 	52
   329	VITAMIN Z 	BURNING FLAME 	80 	51
   330	JEFF LYNNE 	VIDEO 	87 	51
   331	BAR-KAYS 	SEX O MATIC 	51 	51
   332	ROSE MARIE 	LET THE REST OF THE WORLD GO BY 	76 	50
   333	MARI WILSON 	AIN'T THAT PECULIAR 	78 	50
   334	JAKI GRAHAM 	HEAVEN KNOWS (FEELS SO GOOD) 	80 	50
   335	SYLVESTER 	ROCK THE BOX 	88 	49
   336	CAPTAIN SENSIBLE 	ONE CHRISTMAS CATALOGUE/RELAX 	79 	49
   337	BRUCE FOXTON 	IT MAKES ME WONDER 	74 	49
   338	YVONNE GAGE 	LOVE OF MY DREAMS 	79 	48
   339	GARY MOORE 	SHAPES OF THINGS 	77 	48
   340	CUTTY 	NAUGHTY TIMES 	83 	48
   341	ADRIAN GURVITZ 	HELLO MUM 	80 	48
   342	TINTIN 	KISS ME 	78 	47
   343	SENATE 	ORIGINAL SIN/DO YOU BELIEVE IN THE WESTWORLD 	84 	47
   344	ONE WAY 	MR GROOVE 	84 	47
   345	KID CREOLE AND THE COCONUTS 	DON'T TAKE MY COCONUTS 	86 	47
   346	CULT 	SPIRITWALKER 	77 	47
   347	SHAKATAK 	WATCHING YOU 	79 	46
   348	PENNYE FORD 	CHANGE YOUR WICKED WAYS 	76 	46
   349	I-LEVEL 	IN THE RIVER 	81 	46
   350	BOUNCING CZECHS 	I'M A LITTLE CHRISTMAS CRACKER 	72 	46
   351	ROSE ROYCE 	MAGIC TOUCH 	56 	45
   352	FRIDA 	SHINE 	82 	45
   353	FAD GADGET 	COLLAPSING NEW PEOPLE 	85 	45
   354	SNOWY WHITE 	PEACE ON EARTH 	78 	44
   355	ROCKWELL 	(OBSCENE) PHONE CALLER 	79 	44
   356	NICK CAVE & THE BAD SEEDS 	IN THE GHETTO 	84 	44
   357	MCFADDEN AND WHITEHEAD 	AIN'T NO STOPPIN' (AIN'T NO WAY) 	81 	44
   358	JOE JACKSON 	YOU CAN'T GET WHAT YOU WANT 	77 	44
   359	HIGSONS 	MUSIC TO WATCH GIRLS BY 	83 	44
   360	ROY AYERS 	IN THE DARK 	83 	43
   361	W.A.S.P. 	I WANNA BE SOMEBODY 	77 	42
   362	MIQUEL BROWN 	BLACK LEATHER 	85 	42
   363	MEN AT WORK 	BE GOOD JOHNNY/WHO CAN IT BE NOW 	78 	42
   364	LYNYRD SKYNYRD 	FREE BIRD {1983} 	87 	42
   365	KING CRIMSON 	SLEEPLESS 	79 	42
   366	JEFFREY DANIEL 	AC/DC 	78 	42
   367	DETROIT SPINNERS 	RIGHT OR WRONG/I'LL BE AROUND 	84 	42
   368	BOOMTOWN RATS 	DAVE 	81 	42
   369	BONNIE POINTER 	YOUR TOUCH 	79 	42
   370	BILLY OCEAN 	EUROPEAN QUEEN (NO MORE LOVE ON THE RUN) 	82 	42
   371	HI TENSION 	RAT RACE 	83 	41
   372	DIANA ROSS AND MICHAEL JACKSON 	EASE ON DOWN THE ROAD {1984} 	83 	41
   373	DAVID ESSEX 	WELCOME 	80 	40
   374	BOBBY KING 	LOVEQUAKE 	79 	40
   375	TYZIK 	JAMMIN' IN MANHATTAN 	80 	39
   376	SOS BAND 	TELL ME IF YOU STILL CARE 	81 	39
   377	PSYCHEDELIC FURS 	HEARTBEAT 	62 	39
   378	LATIN ELECTRICA 	LATIN ELECTRICA 	83 	39
   379	CHRIS DE BURGH 	ECSTASY OF FLIGHT (I LOVE THE NIGHT) 	80 	39
   380	STARPOINT 	IT'S ALL YOURS 	84 	38
   381	PARIS 	I CHOOSE YOU 	81 	38
   382	MIRAGE 	LET'S GROOVE (MEDLEY) 	81 	38
   383	KEN DODD 	LITTLE WORDS 	81 	38
   384	JANET JACKSON AND CLIFF RICHARD 	TWO TO THE POWER 	83 	38
   385	INTRIGUE 	LET SLEEPING DOGS LIE 	87 	38
   386	GRANDMASTER FLASH AND MELLE MEL 	JESSE 	83 	38
   387	POOKAH MAKES THREE 	TAKE IT BACK 	85 	37
